,tweet_id,retweet_count,favorite_count
1619,678798276842360832,1076,3243
1620,678774928607469569,845,2651
1621,678767140346941444,1267,3317
1622,678764513869611008,434,1533
1623,678755239630127104,3043,6676
1624,678740035362037760,1548,3516
1625,678708137298427904,2267,5285
1626,678675843183484930,1361,2688
1627,678643457146150913,374,1933
1628,678446151570427904,1428,3765
1629,678424312106393600,2368,5149
1630,678410210315247616,1676,3962
1631,678399652199309312,29566,75535
1632,678396796259975168,389,1492
1633,678389028614488064,392,1757
1634,678380236862578688,842,2294
1635,678341075375947776,499,1624
1636,678334497360859136,231,1221
1637,678278586130948096,5684,10755
1638,678255464182861824,342,1493
1639,678023323247357953,349,1793
1640,678021115718029313,5848,12785
1641,677961670166224897,1575,3215
1642,677918531514703872,379,1258
1643,677895101218201600,1916,4521
1644,677716515794329600,905,2861
1645,677700003327029250,1338,3202
1646,677698403548192770,297,1156
1647,677687604918272002,783,2340
1648,677673981332312066,1395,3133
1649,677662372920729601,882,1830
1650,677644091929329666,753,1751
1651,677573743309385728,639,2000
1652,677565715327688705,427,1225
1653,677557565589463040,1065,2292
1654,677547928504967168,3420,6500
1655,677530072887205888,212,995
1656,677335745548390400,1616,2853
1657,677334615166730240,261,1268
1658,677331501395156992,217,1021
1659,677328882937298944,1403,3434
1660,677314812125323265,490,1553
1661,677301033169788928,369,1151
1662,677269281705472000,655,1854
1663,677228873407442944,1516,3327
1664,677187300187611136,843,2566
1665,676975532580409345,988,2600
1666,676957860086095872,751,2092
1667,676949632774234114,367,1229
1668,676948236477857792,799,2015
1669,676946864479084545,340,1625
1670,676942428000112642,691,1938
1671,676936541936185344,4588,11948
1672,676916996760600576,1681,2780
1673,676897532954456065,671,2108
1674,676864501615042560,652,1960
1675,676821958043033607,14311,21384
1676,676819651066732545,615,1701
1677,676811746707918848,396,1348
1678,676776431406465024,1871,4673
1679,676617503762681856,884,2708
1680,676613908052996102,184,1017
1681,676606785097199616,403,1780
1682,676603393314578432,355,1082
1683,676593408224403456,1982,4259
1684,676590572941893632,115,860
1685,676588346097852417,724,2146
1686,676582956622721024,253,1105
1687,676575501977128964,1036,2405
1688,676533798876651520,514,1755
1689,676496375194980353,490,1423
1690,676470639084101634,4331,10877
1691,676440007570247681,613,1611
1692,676430933382295552,315,1302
1693,676263575653122048,502,1956
1694,676237365392908289,259,1131
1695,676219687039057920,28625,71457
1696,676215927814406144,530,1624
1697,676191832485810177,956,2118
1698,676146341966438401,614,1800
1699,676121918416756736,1075,2014
1700,676101918813499392,1082,2648
1701,676098748976615425,1299,2772
1702,676089483918516224,406,1227
1703,675898130735476737,523,1508
1704,675891555769696257,787,1983
1705,675888385639251968,873,2197
1706,675878199931371520,1293,3885
1707,675870721063669760,519,1520
1708,675853064436391936,1182,2513
1709,675849018447167488,129,886
1710,675845657354215424,803,2117
1711,675822767435051008,493,1423
1712,675820929667219457,220,982
1713,675798442703122432,3156,9584
1714,675781562965868544,429,1498
1715,675740360753160193,309,1096
1716,675710890956750848,752,1749
1717,675707330206547968,627,1839
1718,675706639471788032,88,604
1719,675534494439489536,376,1715
1720,675531475945709568,347,1100
1721,675522403582218240,258,966
1722,675517828909424640,427,1199
1723,675501075957489664,5390,16005
1724,675497103322386432,1185,2906
1725,675489971617296384,546,1191
1726,675483430902214656,889,1709
1727,675432746517426176,527,1406
1728,675372240448454658,477,1567
1729,675362609739206656,204,982
1730,675354435921575936,15359,30205
1731,675349384339542016,2077,3640
1732,675334060156301312,1181,2559
1733,675166823650848770,1436,3285
1734,675153376133427200,2345,5776
1735,675149409102012420,1557,3458
1736,675147105808306176,211,869
1737,675146535592706048,266,1092
1738,675145476954566656,818,1972
1739,675135153782571009,429,1204
1740,675113801096802304,714,1796
1741,675111688094527488,223,887
1742,675109292475830276,1033,2590
1743,675047298674663426,292,975
1744,675015141583413248,1085,2500
1745,675006312288268288,206,905
1746,675003128568291329,427,1438
1747,674999807681908736,1005,2068
1748,674805413498527744,329,787
1749,674800520222154752,778,2773
1750,674793399141146624,995,2303
1751,674790488185167872,227,1021
1752,674788554665512960,188,742
1753,674781762103414784,1089,1851
1754,674774481756377088,429,1017
1755,674767892831932416,714,1676
1756,674764817387900928,209,723
1757,674754018082705410,401,1262
1758,674752233200820224,420,1352
1759,674743008475090944,494,1292
1760,674742531037511680,46,442
1761,674739953134403584,347,1005
1762,674737130913071104,81,597
1763,674690135443775488,431,1058
1764,674670581682434048,592,1498
1765,674664755118911488,218,841
1766,674646392044941312,441,1320
1767,674644256330530816,255,957
1768,674638615994089473,537,1551
1769,674632714662858753,522,1387
1770,674606911342424069,90,864
1771,674468880899788800,1853,5752
1772,674447403907457024,324,980
1773,674436901579923456,357,1027
1774,674422304705744896,491,1328
1775,674416750885273600,124,637
1776,674410619106390016,420,1108
1777,674394782723014656,518,1383
1778,674372068062928900,288,795
1779,674330906434379776,69,529
1780,674318007229923329,468,1303
1781,674307341513269249,6286,10466
1782,674291837063053312,5331,13575
1783,674271431610523648,669,1440
1784,674269164442398721,209,845
1785,674265582246694913,767,1508
1786,674262580978937856,410,1215
1787,674255168825880576,492,1342
1788,674082852460433408,149,708
1789,674075285688614912,257,920
1790,674063288070742018,1978,5896
1791,674053186244734976,1177,3045
1792,674051556661161984,447,1340
1793,674045139690631169,581,1302
1794,674042553264685056,115,659
1795,674038233588723717,383,1015
1796,674036086168010753,185,788
1797,674024893172875264,1117,1639
1798,674019345211760640,273,1049
1799,674014384960745472,581,1440
1800,674008982932058114,319,1112
1801,673956914389192708,874,1809
1802,673919437611909120,337,1084
1803,673906403526995968,1498,2934
1804,673887867907739649,231,867
1805,673716320723169284,689,2850
1806,673715861853720576,1870,3245
1807,673711475735838725,273,962
1808,673709992831262724,242,776
1809,673708611235921920,261,987
1810,673707060090052608,356,1018
1811,673705679337693185,370,1162
1812,673700254269775872,520,1319
1813,673697980713705472,1758,3636
1814,673689733134946305,592,1595
1815,673688752737402881,449,1163
1816,673686845050527744,391,1322
1817,673680198160809984,425,1259
1818,673662677122719744,338,1160
1819,673656262056419329,210,669
1820,673636718965334016,331,1021
1821,673612854080196609,652,1467
1822,673583129559498752,325,1105
1823,673580926094458881,249,769
1824,673576835670777856,508,1266
1825,673363615379013632,275,948
1826,673359818736984064,613,1330
1827,673355879178194945,517,1384
1828,673352124999274496,487,1536
1829,673350198937153538,192,702
1830,673345638550134785,1150,2297
1831,673343217010679808,245,891
1832,673342308415348736,514,1176
1833,673320132811366400,7107,12348
1834,673317986296586240,227,812
1835,673295268553605120,2859,6924
1836,673270968295534593,328,984
1837,673240798075449344,640,1311
1838,673213039743795200,760,2043
1839,673148804208660480,566,1548
1840,672997845381865473,645,1808
1841,672995267319328768,266,870
1842,672988786805112832,264,900
1843,672984142909456390,497,1149
1844,672980819271634944,920,1675
1845,672975131468300288,815,1543
1846,672970152493887488,324,870
1847,672968025906282496,494,1225
